cid,city,latitude,longitude
0,Aigues Mortes,43.5658225,4.1912837
1,Aix en Provence,43.5298424,5.4474738
2,Amiens,49.8941708,2.2956951
3,Annecy,45.8992348,6.1288847
4,Ariege,42.9455368,1.4065544156065486
5,Avignon,43.9492493,4.8059012
6,Bayeux,49.2764624,-0.7024738
7,Bayonne,43.4945144,-1.4736657
8,Besancon,47.2380222,6.0243622
9,Biarritz,43.471143749999996,-1.552726590666314
10,Bormes les Mimosas,43.1506968,6.3419285
11,Carcassonne,43.2130358,2.3491069
12,Cassis,43.2140359,5.5396318
13,Chateau du Haut Koenigsbourg,48.249489800000006,7.34429620253195
14,Collioure,42.52505,3.0831554
15,Colmar,48.0777517,7.3579641
16,Dijon,47.3215806,5.0414701
17,Eguisheim,48.0447968,7.3079618
18,Gorges du Verdon,43.7496562,6.3285616
19,Grenoble,45.1875602,5.7357819
20,La Rochelle,46.1591126,-1.1520434
21,Le Havre,49.4938975,0.1079732
22,Lille,50.6365654,3.0635282
23,Lyon,45.7578137,4.8320114
24,Marseille,43.2961743,5.3699525
25,Mont Saint Michel,48.6359541,-1.511459954959514
26,Montauban,44.0175835,1.3549991
27,Nimes,43.8374249,4.3600687
28,Paris,48.8534951,2.3483915
29,Rouen,49.4404591,1.0939658
30,Saintes Maries de la mer,43.4522771,4.4287172
31,St Malo,48.649518,-2.0260409
32,Strasbourg,48.584614,7.7507127
33,Toulouse,43.6044622,1.4442469
34,Uzes,44.0121279,4.4196718
