day_time,temperature,probability to rain,weather description,cid
2023-05-06 13:00:00,19.97,0.01,scattered clouds,0
2023-05-07 13:00:00,21.24,0.17,overcast clouds,0
2023-05-08 13:00:00,24.45,0.0,broken clouds,0
2023-05-09 13:00:00,21.09,0.65,light rain,0
2023-05-10 13:00:00,21.41,0.2,scattered clouds,0
2023-05-11 13:00:00,19.23,0.03,broken clouds,0
2023-05-12 13:00:00,19.37,0.38,light rain,0
2023-05-06 13:00:00,23.74,0.0,scattered clouds,1
2023-05-07 13:00:00,22.39,0.02,overcast clouds,1
2023-05-08 13:00:00,24.59,0.0,scattered clouds,1
2023-05-09 13:00:00,22.84,0.24,overcast clouds,1
2023-05-10 13:00:00,21.8,0.11,scattered clouds,1
2023-05-11 13:00:00,20.49,0.21,scattered clouds,1
2023-05-12 13:00:00,18.4,0.47,light rain,1
2023-05-06 13:00:00,13.14,0.86,light rain,2
2023-05-07 13:00:00,16.75,0.31,overcast clouds,2
2023-05-08 13:00:00,18.44,0.97,light rain,2
2023-05-09 13:00:00,15.84,1.0,moderate rain,2
2023-05-10 13:00:00,12.05,1.0,light rain,2
2023-05-11 13:00:00,14.49,0.93,light rain,2
2023-05-12 13:00:00,16.43,0.0,clear sky,2
2023-05-06 13:00:00,22.46,0.43,broken clouds,3
2023-05-07 13:00:00,17.97,1.0,moderate rain,3
2023-05-08 13:00:00,18.46,0.89,light rain,3
2023-05-09 13:00:00,18.06,1.0,moderate rain,3
2023-05-10 13:00:00,13.25,1.0,moderate rain,3
2023-05-11 13:00:00,10.98,0.9,light rain,3
2023-05-12 13:00:00,13.32,0.86,light rain,3
2023-05-06 13:00:00,20.67,0.72,moderate rain,4
2023-05-07 13:00:00,9.64,1.0,moderate rain,4
2023-05-08 13:00:00,15.06,0.44,light rain,4
2023-05-09 13:00:00,13.72,1.0,light rain,4
2023-05-10 13:00:00,9.21,1.0,moderate rain,4
2023-05-11 13:00:00,4.87,0.96,light rain,4
2023-05-12 13:00:00,7.6,0.96,moderate rain,4
2023-05-06 13:00:00,25.04,0.1,scattered clouds,5
2023-05-07 13:00:00,22.53,0.09,overcast clouds,5
2023-05-08 13:00:00,23.6,0.0,scattered clouds,5
